Values,API Name
Ich kann mich nicht einloggen,Ich kann mich nicht einloggen
Ich kann mich in die App nicht einloggen,Ich kann mich in die App nicht einloggen
Ich habe keinen Link zum Zurücksetzen meines Passwortes bekommen,Ich habe keinen Link zum Zurücksetzen meines Passwortes bekommen
Ich kann meine Mitgliedschaft nicht verbinden,Ich kann meine Mitgliedschaft nicht verbinden
Ich möchte zu einer Privatmitgliedschaft wechseln,Ich möchte zu einer Privatmitgliedschaft wechseln
Ich möchte zu einer Firmenmitgliedschaft wechseln,Ich möchte zu einer Firmenmitgliedschaft wechseln
Ich möchte meine Familie in meinen Tarif inkludieren,Ich möchte meine Familie in meinen Tarif inkludieren
Ich möchte meine Privatmitgliedschaft downgraden,Ich möchte meine Privatmitgliedschaft downgraden
Ich möchte meine Privatmitgliedschaft upgraden,Ich möchte meine Privatmitgliedschaft upgraden
Corporate Benefits / Mitarbeitervorteile,Corporate Benefits / Mitarbeitervorteile
"Ich habe ein Problem, einen aktuellen Rabatt betreffend","Ich habe ein Problem, einen aktuellen Rabatt betreffend"
Family&Friends Tarif hinzufügen,Family&Friends Tarif hinzufügen
Wie sehen die Konditionen meiner Mitgliedschaft aus,Wie sehen die Konditionen meiner Mitgliedschaft aus
Geschenkgutscheine,Geschenkgutscheine
Ich wechsle meinen aktuellen Arbeitgeber,Ich wechsle meinen aktuellen Arbeitgeber
"Ich habe gekündigt, aber mir wurde ein Betrag abgebucht","Ich habe gekündigt, aber mir wurde ein Betrag abgebucht"
Wie kündige ich eine Mitgliedschaft?,Wie kündige ich eine Mitgliedschaft?
Ich würde gern mein Kündigungsdatum ändern,Ich würde gern mein Kündigungsdatum ändern
Ich möchte meine Mitgliedschaft widerrufen,Ich möchte meine Mitgliedschaft widerrufen
Ich möchte meine Mitgliedschaft pausieren,Ich möchte meine Mitgliedschaft pausieren
Ich möchte meine Pause aufheben,Ich möchte meine Pause aufheben
Ich möchte eine Änderung meiner Pause beantragen,Ich möchte eine Änderung meiner Pause beantragen
Meine Mitgliedschaft wurde gesperrt,Meine Mitgliedschaft wurde gesperrt
Ich habe eine Zahlung versäumt,Ich habe eine Zahlung versäumt
Mir wurde der falsche Betrag abgebucht/ in Rechnung gestellt,Mir wurde der falsche Betrag abgebucht/ in Rechnung gestellt
Allgemeine Fragen zu Zahlungen/Rechnungen,Allgemeine Fragen zu Zahlungen/Rechnungen
Adresse/ Telefonnummer ändern,Adresse/ Telefonnummer ändern
Name oder E-Mail ändern,Name oder E-Mail ändern
Mitgliedschaftsbestätigung,Mitgliedschaftsbestätigung
Personalabteilung,Personalabteilung
Marketing,Marketing
Customer Service,Customer Service
Firmen Management,Firmen Management
Partner (Success) Management,Partner (Success) Management
Informationen bezüglich des Partnerprofils,Informationen bezüglich des Partnerprofils
Erfahrung bei einem Partner,Erfahrung bei einem Partner
Allgemeine Datenbestandsabfragen,Allgemeine Datenbestandsabfragen
Allgemeine Anfrage / Sonstiges,Allgemeine Anfrage / Sonstiges
Antrag auf Berichtigung der Daten,Antrag auf Berichtigung der Daten
Antrag auf Lösung der Daten / Einschränkung der Verarbeitung,Antrag auf Lösung der Daten / Einschränkung der Verarbeitung
Ich kann mich nicht einchecken,Ich kann mich nicht einchecken
Ich möchte einen Check-In hinzufügen,Ich möchte einen Check-In hinzufügen
Ich möchte einen Check-In entfernen,Ich möchte einen Check-In entfernen
Ich möchte die App auf einem anderen Endgerät nutzen,Ich möchte die App auf einem anderen Endgerät nutzen
Unterschied Privat/Firmenmitgliedschaft,Unterschied Privat/Firmenmitgliedschaft
Wie melde ich mich an?,Wie melde ich mich an?
Wie funktioniert Sportnavi?,Wie funktioniert Sportnavi?
Wie kann ich mich über meine Arbeitgeber /Verein etc. anmelden,Wie kann ich mich über meine Arbeitgeber /Verein etc. anmelden
Wie funktioniert es?,Wie funktioniert es?
Ich habe technische Probleme,Ich habe technische Probleme
Ich habe keine E-Mail mit dem Link erhalten,Ich habe keine E-Mail mit dem Link erhalten
Kurse vor Ort,Kurse vor Ort
Sonstiges,Sonstiges
